timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-02-14,139.4900,139.6155,136.8900,137.9900,137.9900,2813356,0.0000,1.0000
2020-02-13,140.0000,140.5000,138.4300,139.7200,139.7200,3316282,0.0000,1.0000
2020-02-12,138.4000,139.9400,138.0900,139.5900,139.5900,3219315,0.0000,1.0000
2020-02-11,135.4900,137.2300,135.0600,136.1900,136.1900,2381879,0.0000,1.0000
2020-02-10,133.0400,134.3300,132.7800,134.3200,134.3200,2329180,0.0000,1.0000
2020-02-07,136.0400,136.4900,133.0000,133.3700,133.3700,3810972,0.0000,1.0000
2020-02-06,138.2000,138.3300,136.1300,137.2500,137.2500,2282055,0.0000,1.0000
2020-02-05,135.5500,137.4700,135.4400,137.4400,137.4400,4444646,0.0000,1.0000
2020-02-04,133.0000,134.7800,132.6800,133.5100,133.5100,3501038,0.0000,1.0000
2020-02-03,131.4400,133.1600,129.3000,129.7700,129.7700,4385263,0.0000,1.0000
2020-01-31,133.8200,134.9900,130.5400,131.3500,131.3500,6784546,0.0000,1.0000
2020-01-30,134.7600,135.9700,132.9100,135.3700,135.3700,3858758,0.0000,1.0000
2020-01-29,137.5900,137.7600,135.6700,135.7800,135.7800,2619883,0.0000,1.0000
2020-01-28,137.0200,137.6000,135.6200,136.7400,136.7400,2762057,0.0000,1.0000
2020-01-27,136.9000,137.8100,135.5700,135.7300,135.7300,2919142,0.0000,1.0000
2020-01-24,142.5500,142.7000,139.2600,140.3800,140.3800,2521841,0.0000,1.0000
2020-01-23,141.8100,143.2100,139.8000,142.7500,142.7500,3182694,0.0000,1.0000
2020-01-22,146.2500,146.5600,142.5200,142.6300,142.6300,3601974,0.0000,1.0000
2020-01-21,147.2000,147.8700,145.6900,145.8500,145.8500,2476673,0.0000,1.0000
2020-01-17,147.2100,148.2742,146.6000,147.7800,147.7800,3331430,1.0300,1.0000
2020-01-16,146.4300,147.9300,146.2400,147.8700,146.8465,3070430,0.0000,1.0000
2020-01-15,146.2200,146.7400,145.2000,145.5700,144.5624,2640544,0.0000,1.0000
2020-01-14,147.4500,147.9800,146.3100,146.6800,145.6647,2742237,0.0000,1.0000
2020-01-13,146.5300,146.8300,145.5500,146.8200,145.8038,3355028,0.0000,1.0000
2020-01-10,147.4500,147.7200,145.8300,146.1300,145.1185,2393702,0.0000,1.0000
2020-01-09,147.8100,147.9690,146.5100,147.3100,146.2904,2272529,0.0000,1.0000
2020-01-08,146.8300,148.5700,146.4584,147.6800,146.6578,2153172,0.0000,1.0000
2020-01-07,147.3500,147.5700,145.5100,146.3800,145.3668,2847741,0.0000,1.0000
2020-01-06,147.2700,148.5600,146.5408,148.3400,147.3133,2547522,0.0000,1.0000
2020-01-03,148.7700,149.9600,147.4500,148.4400,147.4126,3100514,0.0000,1.0000
2020-01-02,149.0000,150.5500,147.9770,150.5300,149.4881,3311828,0.0000,1.0000
2019-12-31,147.4300,148.2300,146.7900,147.6800,146.6578,1952419,0.0000,1.0000
2019-12-30,148.4200,148.4700,147.0100,147.5200,146.4989,1789153,0.0000,1.0000
2019-12-27,148.6400,148.9299,147.9900,148.2800,147.2537,1544462,0.0000,1.0000
2019-12-26,147.9000,148.2300,146.9900,148.2200,147.1941,1576855,0.0000,1.0000
2019-12-24,148.7000,148.8000,147.2900,147.4800,146.4592,966205,0.0000,1.0000
2019-12-23,147.6800,148.5300,146.7800,148.5000,147.4721,2346471,0.0000,1.0000
2019-12-20,147.3800,147.7700,145.2400,147.5700,146.5486,6805221,0.0000,1.0000
2019-12-19,146.9800,146.9800,144.3000,145.0200,144.0162,3576840,0.0000,1.0000
2019-12-18,146.5000,147.3000,145.6000,147.1200,146.1017,2629513,0.0000,1.0000
2019-12-17,145.5000,146.9900,145.4600,146.3700,145.3569,2850726,0.0000,1.0000
2019-12-16,147.7100,148.3000,145.2300,145.3600,144.3539,2414763,0.0000,1.0000
2019-12-13,146.8000,148.3999,145.1500,145.5300,144.5227,3311710,0.0000,1.0000
2019-12-12,143.5400,147.4000,143.0000,146.7800,145.7641,3713947,0.0000,1.0000
2019-12-11,143.7700,144.6200,143.2900,144.0000,143.0033,2261863,0.0000,1.0000
2019-12-10,142.6900,143.5900,141.7500,142.8700,141.8811,1888942,0.0000,1.0000
2019-12-09,142.9700,143.2800,142.3700,142.8300,141.8414,1584606,0.0000,1.0000
2019-12-06,142.9100,143.4200,142.1700,142.7200,141.7322,2271358,0.0000,1.0000
2019-12-05,140.5800,141.1200,139.5300,141.0500,140.0737,2277716,0.0000,1.0000
2019-12-04,140.9800,142.2800,140.0000,140.1200,139.1501,2484619,0.0000,1.0000
2019-12-03,140.0500,140.4300,138.5604,140.0600,139.0906,3962174,0.0000,1.0000
2019-12-02,145.2000,146.0400,142.8400,142.9600,141.9705,2896209,0.0000,1.0000
2019-11-29,144.1900,145.4600,143.7900,144.7300,143.7282,1652467,0.0000,1.0000
2019-11-27,145.0200,145.7200,143.7000,145.6900,144.6816,2660067,0.0000,1.0000
2019-11-26,146.4000,146.6500,145.4900,146.0900,145.0788,2469320,0.0000,1.0000
2019-11-25,144.7500,146.5700,143.8000,146.4200,145.4065,3085151,0.0000,1.0000
2019-11-22,143.9200,144.4600,143.0300,143.8800,142.8841,2258300,0.0000,1.0000
2019-11-21,141.5500,143.9400,140.9500,143.3600,142.3677,3295852,0.0000,1.0000
2019-11-20,142.4500,142.7000,140.1018,141.5200,140.5405,3484710,0.0000,1.0000
2019-11-19,144.3500,144.7600,142.7600,143.1800,142.1890,2085066,0.0000,1.0000
2019-11-18,144.2400,144.7800,143.0200,143.5900,142.5961,2638619,0.0000,1.0000
2019-11-15,144.5600,145.8800,144.5100,145.3100,144.3042,2827367,0.0000,1.0000
2019-11-14,144.2100,145.3400,143.2100,143.4400,142.4472,2581677,0.0000,1.0000
2019-11-13,144.3600,145.8600,143.6900,144.4900,143.4899,3226303,0.0000,1.0000
2019-11-12,148.1100,148.4699,146.0200,146.3400,145.3271,2841758,0.0000,1.0000
2019-11-11,146.7400,148.1500,146.6100,148.0000,146.9756,2205134,0.0000,1.0000
2019-11-08,146.6600,148.1800,145.8000,148.1600,147.1345,2776564,0.0000,1.0000
2019-11-07,147.3900,148.4050,146.7508,147.0100,145.9925,3815636,0.0000,1.0000
2019-11-06,146.4700,146.4700,144.6600,145.4900,144.4830,3736610,0.0000,1.0000
2019-11-05,146.8600,148.0000,145.6650,146.3700,145.3569,4515385,0.0000,1.0000
2019-11-04,145.3500,147.0000,145.0200,146.9200,145.9031,5431844,0.0000,1.0000
2019-11-01,139.3700,144.6100,139.2300,144.4900,143.4899,6218814,0.0000,1.0000
2019-10-31,139.3700,140.3400,136.3909,137.8000,136.8462,4037511,0.0000,1.0000
2019-10-30,141.0000,141.0000,139.6100,140.3400,139.3686,3947925,0.0000,1.0000
2019-10-29,139.3800,141.4500,138.7701,141.3300,140.3518,4426511,0.0000,1.0000
2019-10-28,139.9700,141.6300,138.8700,140.0600,139.0906,6173719,0.0000,1.0000
2019-10-25,135.0000,139.9800,134.8500,139.7300,138.7628,8315889,0.0000,1.0000
2019-10-24,135.0900,135.2900,132.3834,133.8500,132.9235,3935233,0.0000,1.0000
2019-10-23,134.2300,135.9900,130.7000,135.3400,134.4032,11303533,0.0000,1.0000
2019-10-22,132.5900,134.2600,130.9400,133.6900,132.7647,4738472,0.0000,1.0000
2019-10-21,131.9500,133.4500,131.5000,132.2300,131.3148,4272416,0.0000,1.0000
2019-10-18,130.1500,132.0300,129.9900,130.7100,129.8053,4329206,1.0300,1.0000
2019-10-17,130.9700,132.8600,130.1800,132.0700,130.1304,3423128,0.0000,1.0000
2019-10-16,131.0000,132.8100,130.1100,130.1900,128.2780,3063610,0.0000,1.0000
2019-10-15,127.9900,131.6800,127.6500,131.0300,129.1057,3297990,0.0000,1.0000
2019-10-14,126.8100,128.5600,126.0100,128.3800,126.4946,2882953,0.0000,1.0000
2019-10-11,125.6100,130.3800,125.4000,128.4000,126.5143,6771880,0.0000,1.0000
2019-10-10,120.0400,123.0300,119.7600,122.6900,120.8882,3281495,0.0000,1.0000
2019-10-09,119.4900,120.0600,118.0000,119.4400,117.6859,2630301,0.0000,1.0000
2019-10-08,118.7900,119.2000,117.6900,117.9700,116.2375,3549005,0.0000,1.0000
2019-10-07,120.8500,121.7000,119.7500,120.2500,118.4840,2374606,0.0000,1.0000
2019-10-04,119.7200,121.1500,119.3500,121.0400,119.2624,2472981,0.0000,1.0000
2019-10-03,119.3400,120.0600,117.2500,120.0400,118.2771,3154263,0.0000,1.0000
2019-10-02,121.1500,121.8500,119.3400,119.9600,118.1983,4303573,0.0000,1.0000
2019-10-01,127.4000,128.5000,122.3000,122.3700,120.5729,3737381,0.0000,1.0000
2019-09-30,126.3400,127.0950,125.8800,126.3100,124.4550,2803970,0.0000,1.0000
2019-09-27,127.0000,127.3800,125.6600,126.5900,124.7309,2214249,0.0000,1.0000
2019-09-26,126.7900,126.9200,125.6500,126.3900,124.5339,2538958,0.0000,1.0000
2019-09-25,125.8500,126.8200,125.0200,126.6100,124.7506,2383176,0.0000,1.0000
2019-09-24,128.7400,129.0000,125.5700,125.9900,124.1397,3445667,0.0000,1.0000
2019-09-23,127.3400,128.8800,126.3400,128.4200,126.5340,2830925,0.0000,1.0000
2019-09-20,130.0100,130.9900,127.8700,128.1600,126.2779,6435831,0.0000,1.0000
2019-09-19,131.4700,132.0300,129.8700,130.1200,128.2091,2735827,0.0000,1.0000
2019-09-18,131.6300,132.2150,129.7200,131.0700,129.1451,3019875,0.0000,1.0000
2019-09-17,132.5900,132.7600,131.1900,132.1700,130.2290,2904099,0.0000,1.0000
2019-09-16,132.9900,133.7999,131.9900,133.1500,131.1946,2874186,0.0000,1.0000
2019-09-13,132.8000,133.9900,131.1300,133.7800,131.8153,3704091,0.0000,1.0000
2019-09-12,132.0000,132.6900,130.0700,131.7500,129.8151,5590540,0.0000,1.0000
2019-09-11,130.8500,133.1900,129.4700,133.0900,131.1355,7556696,0.0000,1.0000
2019-09-10,127.2600,130.2900,127.2200,130.2900,128.3766,8478847,0.0000,1.0000
2019-09-09,123.3900,127.3900,123.2000,127.2500,125.3812,4406468,0.0000,1.0000
2019-09-06,123.7100,124.3400,122.4600,122.7000,120.8980,3314205,0.0000,1.0000
2019-09-05,120.5000,124.2400,120.5000,122.9900,121.1838,5352344,0.0000,1.0000
2019-09-04,118.4200,119.2400,118.2600,119.1000,117.3509,3688350,0.0000,1.0000
2019-09-03,117.9000,117.9000,115.4000,117.0300,115.3113,3780617,0.0000,1.0000
2019-08-30,119.0200,119.5900,118.4500,119.0000,117.2524,2911957,0.0000,1.0000
2019-08-29,116.6200,118.1300,116.4900,117.7700,116.0404,3447962,0.0000,1.0000
2019-08-28,112.8600,114.9500,111.7500,114.8600,113.1732,3187612,0.0000,1.0000
2019-08-27,115.1600,115.4600,113.1507,113.3800,111.7149,3161180,0.0000,1.0000
2019-08-26,115.0600,115.6700,113.8400,114.4200,112.7396,5201870,0.0000,1.0000
2019-08-23,116.2500,116.9000,113.3200,114.0600,112.3849,6105282,0.0000,1.0000
2019-08-22,118.3300,118.9356,117.2200,117.8900,116.1587,2120512,0.0000,1.0000
2019-08-21,118.0000,119.3200,117.5400,117.6800,115.9518,2783752,0.0000,1.0000
2019-08-20,117.5900,117.7900,116.4660,116.6700,114.9566,2402447,0.0000,1.0000
2019-08-19,118.2200,118.4900,116.7100,117.3600,115.6365,2631016,0.0000,1.0000
2019-08-16,116.2500,117.8700,115.9200,116.4300,114.7201,3551929,0.0000,1.0000
2019-08-15,115.0800,115.6000,113.9703,115.2500,113.5575,4171878,0.0000,1.0000
2019-08-14,116.5800,116.9000,115.0400,115.2100,113.5180,5543082,0.0000,1.0000
2019-08-13,116.9400,122.0000,116.7900,119.0100,117.2622,4363016,0.0000,1.0000
2019-08-12,118.9500,119.0300,116.0702,116.7200,115.0059,5244274,0.0000,1.0000
2019-08-09,121.5100,121.7000,118.8100,119.3800,117.6268,3805602,0.0000,1.0000
2019-08-08,121.0000,122.1000,120.3700,122.0200,120.2280,3734773,0.0000,1.0000
2019-08-07,120.0000,121.2000,118.6500,120.7800,119.0062,5048726,0.0000,1.0000
2019-08-06,122.7800,123.6500,120.6400,122.0800,120.2871,3713912,0.0000,1.0000
2019-08-05,122.1100,122.8100,120.3300,121.6500,119.8635,5482488,0.0000,1.0000
2019-08-02,126.5500,126.8000,123.5000,124.5400,122.7110,5968613,0.0000,1.0000
2019-08-01,131.6400,133.1900,126.4200,126.7900,124.9280,5530111,0.0000,1.0000
2019-07-31,132.9000,134.3700,131.0100,131.6700,129.7363,4321957,0.0000,1.0000
2019-07-30,133.3200,133.5750,131.4900,132.9500,130.9975,3257181,0.0000,1.0000
2019-07-29,133.4900,134.6500,132.8500,134.4600,132.4853,2715564,0.0000,1.0000
2019-07-26,134.4500,134.7254,132.6300,132.9200,130.9680,4237994,0.0000,1.0000
2019-07-25,131.0800,134.9000,131.0100,134.7100,132.7317,4823165,0.0000,1.0000
2019-07-24,130.9800,134.3100,128.4500,131.9100,129.9728,12664908,0.0000,1.0000
2019-07-23,135.9300,138.2250,135.5300,138.1000,136.0719,4122180,0.0000,1.0000
2019-07-22,136.3700,136.6600,134.6000,135.2400,133.2539,3267904,0.0000,1.0000
2019-07-19,134.2200,137.0451,134.2200,136.2300,134.2293,4837056,1.0300,1.0000
2019-07-18,134.8700,135.9302,134.0400,134.8900,131.9117,3552126,0.0000,1.0000
2019-07-17,138.2000,138.5095,135.7300,135.7300,132.7331,3750197,0.0000,1.0000
2019-07-16,139.4100,140.6200,138.1600,139.0900,136.0189,4051572,0.0000,1.0000
2019-07-15,138.3800,139.9938,138.2650,139.6400,136.5568,4498676,0.0000,1.0000
2019-07-12,134.7100,138.3800,134.6000,138.3600,135.3051,4149828,0.0000,1.0000
2019-07-11,133.2000,134.0100,132.5900,133.9600,131.0022,3164362,0.0000,1.0000
2019-07-10,134.7300,135.4900,132.5500,132.6400,129.7113,3933317,0.0000,1.0000
2019-07-09,134.1100,134.4400,133.3500,134.2900,131.3249,2618659,0.0000,1.0000
2019-07-08,135.1500,136.1300,134.4300,134.8400,131.8628,2742052,0.0000,1.0000
2019-07-05,134.4300,135.5900,133.2200,135.4900,132.4984,3072084,0.0000,1.0000
2019-07-03,136.4400,136.4800,134.3300,135.5900,132.5962,2538551,0.0000,1.0000
2019-07-02,136.6000,136.9900,135.0700,135.8500,132.8505,3205247,0.0000,1.0000
2019-07-01,139.3000,140.1700,134.9700,136.6000,133.5839,4846206,0.0000,1.0000
2019-06-28,136.0000,137.2700,136.0000,136.2900,133.2808,10469433,0.0000,1.0000
2019-06-27,135.7000,136.0100,133.9700,135.5000,132.5082,3594441,0.0000,1.0000
2019-06-26,134.2600,135.6500,134.1750,135.1500,132.1659,3343653,0.0000,1.0000
2019-06-25,134.5800,134.9100,132.6300,133.7100,130.7577,3751778,0.0000,1.0000
