timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-02-14,318.8700,319.8100,316.9500,318.3100,318.3100,1113716,0.0000,1.0000
2020-02-13,314.8500,318.7900,313.5350,318.2000,318.2000,1438248,0.0000,1.0000
2020-02-12,310.7700,315.4800,310.7700,315.1200,315.1200,1384611,0.0000,1.0000
2020-02-11,314.0300,314.4300,310.4700,310.6800,310.6800,2047510,0.0000,1.0000
2020-02-10,313.7600,316.9445,312.6000,313.7900,313.7900,2336523,0.0000,1.0000
2020-02-07,310.0000,313.8100,309.1248,313.6300,313.6300,1903467,0.0000,1.0000
2020-02-06,309.3500,311.8387,307.8500,310.6100,310.6100,1917896,0.6500,1.0000
2020-02-05,307.0000,309.5900,305.4000,308.9500,308.3048,1731802,0.0000,1.0000
2020-02-04,304.5700,305.9083,302.7622,304.9000,304.2633,1982323,0.0000,1.0000
2020-02-03,306.6387,308.5800,301.6700,302.0000,301.3693,2817541,0.0000,1.0000
2020-01-31,308.5500,309.1800,304.5600,305.5200,304.8820,1836994,0.0000,1.0000
2020-01-30,308.8400,309.6400,306.6650,309.4700,308.8237,1232855,0.0000,1.0000
2020-01-29,310.8600,311.9700,309.3850,309.5800,308.9335,1714823,0.0000,1.0000
2020-01-28,310.5100,311.7100,309.1000,310.8500,310.2009,1571672,0.0000,1.0000
2020-01-27,306.1500,311.7700,305.6500,309.4500,308.8038,2265350,0.0000,1.0000
2020-01-24,314.0200,314.2800,309.1000,310.5100,309.8616,1986279,0.0000,1.0000
2020-01-23,312.0200,313.4000,310.7307,312.8800,312.2266,1535973,0.0000,1.0000
2020-01-22,313.4000,313.5600,310.2100,311.8900,311.2387,2219022,0.0000,1.0000
2020-01-21,306.2000,313.3400,305.7600,313.2600,312.6058,3539260,0.0000,1.0000
2020-01-17,303.4000,305.3000,303.0300,304.6800,304.0437,2506588,0.0000,1.0000
2020-01-16,301.3900,304.0600,300.9750,303.0300,302.3972,1758762,0.0000,1.0000
2020-01-15,298.3500,301.0400,298.0440,300.8200,300.1918,1604433,0.0000,1.0000
2020-01-14,299.2500,301.0000,298.5800,299.7500,299.1240,1460562,0.0000,1.0000
2020-01-13,296.9200,300.6495,296.8000,299.8700,299.2438,1540097,0.0000,1.0000
2020-01-10,300.0000,300.2700,296.6600,297.2400,296.6193,2025220,0.0000,1.0000
2020-01-09,298.5500,301.9600,297.7100,299.4200,298.7947,3262225,0.0000,1.0000
2020-01-08,290.9900,295.4800,290.5000,294.6900,294.0746,2495438,0.0000,1.0000
2020-01-07,291.3200,291.6900,289.2790,291.3500,290.7416,1971494,0.0000,1.0000
2020-01-06,290.5500,292.0700,288.6200,291.8100,291.2006,2655433,0.0000,1.0000
2020-01-03,290.0500,292.9000,289.3300,291.7300,291.1208,1926624,0.0000,1.0000
2020-01-02,294.0600,294.5800,291.0000,291.4900,290.8813,2052922,0.0000,1.0000
2019-12-31,295.0000,295.4500,292.1800,293.9200,293.3062,1551191,0.0000,1.0000
2019-12-30,294.2000,295.6120,293.6600,295.1400,294.5237,1238990,0.0000,1.0000
2019-12-27,296.2200,296.3000,293.1800,294.1100,293.4958,1439479,0.0000,1.0000
2019-12-26,294.4900,295.7300,293.9000,295.7300,295.1124,1103034,0.0000,1.0000
2019-12-24,293.9100,294.4500,293.3600,294.2300,293.6156,543581,0.0000,1.0000
2019-12-23,294.9100,295.3100,293.0300,293.3100,292.6975,1309886,0.0000,1.0000
2019-12-20,293.8500,295.0200,292.7800,294.8300,294.2143,4866674,0.0000,1.0000
2019-12-19,292.0600,293.8100,291.5000,293.7100,293.0966,2595501,0.0000,1.0000
2019-12-18,295.9900,296.3600,291.8200,291.8700,291.2605,3311187,0.0000,1.0000
2019-12-17,293.5000,296.3000,292.7500,295.5500,294.9328,2474762,0.0000,1.0000
2019-12-16,293.0300,294.4600,292.8500,293.5000,292.8871,2410244,0.0000,1.0000
2019-12-13,294.6400,295.0000,289.1000,291.8700,291.2605,5204305,0.0000,1.0000
2019-12-12,295.2700,297.7600,294.1200,297.3400,296.7191,2754453,0.0000,1.0000
2019-12-11,296.0000,296.3479,293.0500,295.3000,294.6833,1752457,0.0000,1.0000
2019-12-10,296.0300,296.6900,294.5450,295.7800,295.1623,1566311,0.0000,1.0000
2019-12-09,295.0000,297.1900,294.5450,295.1600,294.5436,1986336,0.0000,1.0000
2019-12-06,294.9800,295.9900,294.2600,294.9450,294.3291,1462553,0.0000,1.0000
2019-12-05,297.1300,297.1300,292.5000,293.1000,292.4879,1941250,0.0000,1.0000
2019-12-04,296.0400,297.1600,295.1500,296.5200,295.9008,1742589,0.0000,1.0000
2019-12-03,295.1300,296.1900,292.7000,295.6700,295.0526,1962133,0.0000,1.0000
2019-12-02,299.7500,300.2000,294.2700,297.3900,296.7690,2706951,0.0000,1.0000
2019-11-29,300.8200,300.8900,299.6600,299.8100,299.1839,981610,0.0000,1.0000
2019-11-27,301.8200,302.7900,300.5700,300.7600,300.1319,1907095,0.0000,1.0000
2019-11-26,299.2600,301.3500,298.8200,301.2400,300.6109,3360612,0.0000,1.0000
2019-11-25,300.2900,300.6260,297.5500,299.0500,298.4255,1613126,0.0000,1.0000
2019-11-22,301.9400,301.9400,297.2300,299.3100,298.6850,1277594,0.0000,1.0000
2019-11-21,300.6900,301.8700,299.5200,300.2700,299.6430,1303042,0.0000,1.0000
2019-11-20,302.4400,303.1700,298.0108,300.5700,299.9423,1979783,0.0000,1.0000
2019-11-19,304.5000,304.6446,301.4500,302.2400,301.6088,1761832,0.0000,1.0000
2019-11-18,303.1100,306.3800,302.7500,304.5400,303.9040,1242504,0.0000,1.0000
2019-11-15,305.3100,305.4400,301.6000,303.6600,303.0259,1707125,0.0000,1.0000
2019-11-14,304.3900,305.8884,302.2650,304.5900,303.9539,1337458,0.0000,1.0000
2019-11-13,300.1800,304.0000,299.5200,302.9000,302.2675,1554889,0.0000,1.0000
2019-11-12,300.8300,302.7300,298.6600,300.5000,299.8725,1540974,0.0000,1.0000
2019-11-11,301.5500,302.3300,299.7000,300.8400,300.2118,1160960,0.0000,1.0000
2019-11-08,302.7400,304.2900,301.2800,302.6200,301.9880,1502221,0.0000,1.0000
2019-11-07,303.9300,307.1000,302.4800,305.2100,304.5726,2399391,0.0000,1.0000
2019-11-06,299.9700,301.6500,297.9250,301.5700,300.9402,1675008,0.0000,1.0000
2019-11-05,297.0900,299.6925,295.8050,299.1800,298.5552,2204542,0.0000,1.0000
2019-11-04,297.1600,298.2200,295.1700,296.8200,296.2002,1651608,0.0000,1.0000
2019-11-01,297.9900,298.4150,295.5000,296.0900,295.4717,1364483,0.0000,1.0000
2019-10-31,298.3600,299.6220,294.5500,297.1100,296.4895,2277444,0.6500,1.0000
2019-10-30,296.9200,300.2500,295.9700,299.8400,298.5607,1264263,0.0000,1.0000
2019-10-29,298.2100,298.9400,295.8100,295.8600,294.5977,1295287,0.0000,1.0000
2019-10-28,295.7000,299.0900,295.2100,298.9400,297.6645,1614402,0.0000,1.0000
2019-10-25,295.5200,297.2500,295.1100,296.5000,295.2349,1686226,0.0000,1.0000
2019-10-24,295.0500,298.2800,294.5600,297.0500,295.7826,2117020,0.0000,1.0000
2019-10-23,299.5800,300.0523,297.1800,297.3200,296.0514,1810559,0.0000,1.0000
2019-10-22,301.6100,304.8800,299.9500,299.9700,298.6901,1970748,0.0000,1.0000
2019-10-21,303.0000,303.5100,300.1700,301.0800,299.7954,1322894,0.0000,1.0000
2019-10-18,302.0000,304.0000,300.9764,302.8600,301.5678,1799298,0.0000,1.0000
2019-10-17,298.8500,302.6100,298.8500,302.4000,301.1098,1811818,0.0000,1.0000
2019-10-16,296.8000,298.9700,295.0800,298.7800,297.5052,1827669,0.0000,1.0000
2019-10-15,298.3200,299.6400,297.2300,298.3900,297.1169,1601860,0.0000,1.0000
2019-10-14,298.0000,300.3400,297.5000,297.5200,296.2506,1313041,0.0000,1.0000
2019-10-11,298.0700,300.7600,297.3600,297.6000,296.3302,1891654,0.0000,1.0000
2019-10-10,298.6300,299.4800,296.2600,297.1400,295.8722,1721504,0.0000,1.0000
2019-10-09,293.1100,298.5700,293.1100,296.9000,295.6332,2287230,0.0000,1.0000
2019-10-08,292.9500,295.5800,290.4500,291.8900,290.6446,2224561,0.0000,1.0000
2019-10-07,291.0400,295.6900,290.5000,293.4100,292.1581,2051519,0.0000,1.0000
2019-10-04,287.8500,291.9500,283.3200,291.6700,290.4255,4536695,0.0000,1.0000
2019-10-03,285.3900,290.8600,281.6001,289.0000,287.7669,3958168,0.0000,1.0000
2019-10-02,283.2300,285.7900,282.2200,285.1100,283.8935,2506362,0.0000,1.0000
2019-10-01,288.0400,288.6800,283.1800,283.9300,282.7186,2654476,0.0000,1.0000
2019-09-30,287.7000,288.6200,286.5700,288.1100,286.8807,2179096,0.0000,1.0000
