timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-02-14,124.6000,125.7500,124.0100,125.7500,125.7500,1299944,0.0000,1.0000
2020-02-13,125.0000,125.2100,122.9100,124.2300,124.2300,2106981,0.0000,1.0000
2020-02-12,124.5500,125.6400,123.2800,125.6100,125.6100,2027269,0.0000,1.0000
2020-02-11,125.3900,125.4700,124.7500,124.9800,124.9800,1504626,0.0000,1.0000
2020-02-10,124.2400,125.2900,124.1100,125.0400,125.0400,1233944,0.0000,1.0000
2020-02-07,124.1300,124.3700,123.6300,123.9100,123.9100,1292369,0.0000,1.0000
2020-02-06,123.3300,124.1400,123.2100,123.7400,123.7400,1171670,0.0000,1.0000
2020-02-05,122.8800,123.7400,122.4600,123.6100,123.6100,1601294,0.0000,1.0000
2020-02-04,123.3100,123.7673,122.7900,122.8600,122.8600,1145299,0.0000,1.0000
2020-02-03,122.1600,123.2250,122.0900,122.6900,122.6900,1246261,0.0000,1.0000
2020-01-31,122.4600,123.2000,121.0900,121.7000,121.7000,1657541,0.0000,1.0000
2020-01-30,121.0500,122.8400,120.5800,122.7600,122.7600,1155609,0.0000,1.0000
2020-01-29,121.3000,121.8600,120.8100,121.4700,121.4700,1641409,0.0000,1.0000
2020-01-28,121.2600,121.8700,120.5400,121.0500,121.0500,1395797,0.0000,1.0000
2020-01-27,120.2700,121.3132,119.8300,121.1900,121.1900,1191135,0.0000,1.0000
2020-01-24,121.3200,121.9300,120.4800,121.0000,121.0000,1052942,0.0000,1.0000
2020-01-23,120.2200,121.1500,119.5800,121.1400,121.1400,1740624,0.0000,1.0000
2020-01-22,120.8000,121.2950,120.2400,120.3200,120.3200,1376241,0.0000,1.0000
2020-01-21,119.3600,120.5300,119.2700,120.4100,120.4100,1642197,0.0000,1.0000
2020-01-17,119.7200,120.2100,119.4200,119.6500,119.6500,1988012,0.0000,1.0000
2020-01-16,118.7100,119.7600,118.5300,119.4900,119.4900,1725760,0.0000,1.0000
2020-01-15,118.2100,119.1550,117.8500,118.2200,118.2200,1273009,0.0000,1.0000
2020-01-14,117.6800,118.3200,117.3600,118.0700,118.0700,1622407,0.0000,1.0000
2020-01-13,116.4600,118.0000,116.3500,117.6600,117.6600,1340941,0.0000,1.0000
2020-01-10,116.3000,116.5556,115.8000,116.2000,116.2000,1289559,0.0000,1.0000
2020-01-09,116.1800,117.1200,116.0400,116.1300,116.1300,1634190,0.0000,1.0000
2020-01-08,116.1000,116.4800,115.6800,116.0800,116.0800,1824576,0.0000,1.0000
2020-01-07,115.5300,116.2000,114.8800,116.0100,116.0100,2325524,0.0000,1.0000
2020-01-06,114.6000,115.9500,114.5100,115.9300,115.9300,1839692,0.0000,1.0000
2020-01-03,113.1500,115.4700,113.1000,115.3300,115.3300,1424891,0.0000,1.0000
2020-01-02,114.0900,114.2200,112.5000,114.2200,114.2200,2071652,0.0000,1.0000
2019-12-31,113.6900,114.1500,113.1771,113.9600,113.9600,1248587,0.0000,1.0000
2019-12-30,113.5000,113.8500,113.1000,113.7700,113.7700,1058485,0.0000,1.0000
2019-12-27,113.0900,113.9300,112.8100,113.8900,113.8900,804624,0.0000,1.0000
2019-12-26,112.7200,113.1900,112.5300,113.1800,113.1800,798185,0.0000,1.0000
2019-12-24,112.8000,112.8700,112.0600,112.6000,112.6000,498770,0.0000,1.0000
2019-12-23,113.1700,113.4900,112.7200,112.9100,112.9100,921226,0.0000,1.0000
2019-12-20,113.4600,113.5600,112.2600,113.1600,113.1600,2840716,0.0000,1.0000
2019-12-19,112.6400,113.1500,112.3600,112.4800,112.4800,1677194,0.0000,1.0000
2019-12-18,113.0200,113.3850,111.9500,112.5800,112.5800,1833422,0.0000,1.0000
2019-12-17,112.9400,113.6920,112.6200,112.9600,112.9600,1766457,0.0000,1.0000
2019-12-16,112.5800,112.7000,111.5000,112.0300,112.0300,1537604,0.0000,1.0000
2019-12-13,110.4400,112.0450,110.1600,112.0200,112.0200,1846089,0.0000,1.0000
2019-12-12,111.2500,111.5700,110.1050,110.6600,110.6600,1826189,0.0000,1.0000
2019-12-11,111.3500,111.9100,110.8600,111.4000,111.4000,1399315,0.0000,1.0000
2019-12-10,111.8300,112.2300,111.1915,111.2600,111.2600,1419156,0.0000,1.0000
2019-12-09,111.5900,111.8600,111.2500,111.7700,111.7700,2105564,0.0000,1.0000
2019-12-06,112.1400,112.4900,111.3900,111.6200,111.6200,1212339,0.0000,1.0000
2019-12-05,112.5200,112.7500,111.1300,111.4700,111.4700,2525576,0.5125,1.0000
2019-12-04,111.9500,113.5800,111.9500,112.8600,112.3435,1845482,0.0000,1.0000
2019-12-03,111.4900,112.8400,111.2100,112.0300,111.5173,1815760,0.0000,1.0000
2019-12-02,112.7200,113.1100,111.6200,111.6500,111.1390,1495417,0.0000,1.0000
2019-11-29,113.0100,113.4600,112.6100,112.9100,112.3933,706862,0.0000,1.0000
2019-11-27,113.1100,113.3800,112.7000,112.9400,112.4231,1589234,0.0000,1.0000
2019-11-26,110.3600,113.0200,110.2800,112.8800,112.3634,3508003,0.0000,1.0000
2019-11-25,110.8600,111.8100,110.2700,110.3100,109.8052,1929497,0.0000,1.0000
2019-11-22,110.8200,111.4200,109.6700,110.7700,110.2630,2007922,0.0000,1.0000
2019-11-21,112.6000,112.8500,111.0300,111.2100,110.7010,1836879,0.0000,1.0000
2019-11-20,112.5900,113.7100,111.8700,112.5700,112.0548,1876564,0.0000,1.0000
2019-11-19,112.4100,112.9300,111.8550,112.5300,112.0150,1996465,0.0000,1.0000
2019-11-18,112.1500,112.9500,111.9300,112.4000,111.8856,1926975,0.0000,1.0000
2019-11-15,112.3000,112.5000,111.6200,112.1600,111.6467,2030846,0.0000,1.0000
2019-11-14,110.9700,112.2200,110.8580,112.0500,111.5372,1378680,0.0000,1.0000
2019-11-13,110.0600,111.3400,109.6900,110.9400,110.4323,1465316,0.0000,1.0000
2019-11-12,110.5000,110.8200,109.6800,110.0000,109.4966,1603023,0.0000,1.0000
2019-11-11,110.9400,111.2900,110.0300,110.4700,109.9644,1094264,0.0000,1.0000
2019-11-08,110.0700,111.1400,110.0600,111.0300,110.5219,1222030,0.0000,1.0000
2019-11-07,110.1000,110.5500,109.3400,110.3500,109.8450,2329215,0.0000,1.0000
2019-11-06,107.9100,109.9300,107.7700,109.9300,109.4269,1884176,0.0000,1.0000
2019-11-05,110.6200,110.8100,107.8701,108.3100,107.8143,3573546,0.0000,1.0000
2019-11-04,111.2100,111.4700,110.2800,110.8200,110.3128,2179753,0.0000,1.0000
2019-11-01,112.5200,112.6900,110.8200,111.2300,110.7209,1864720,0.0000,1.0000
2019-10-31,112.6000,113.3900,111.6900,112.2100,111.6965,1663789,0.0000,1.0000
2019-10-30,112.5600,113.2400,111.7500,112.6700,112.1544,1161763,0.0000,1.0000
2019-10-29,111.0700,112.9300,110.8600,112.0300,111.5173,1702192,0.0000,1.0000
2019-10-28,111.2400,111.6189,110.8500,111.2800,110.7707,1519592,0.0000,1.0000
2019-10-25,113.1500,113.5000,110.8400,111.3500,110.8404,2379546,0.0000,1.0000
2019-10-24,113.5100,113.6600,111.1100,113.1700,112.6521,2535151,0.0000,1.0000
2019-10-23,116.6300,117.6900,113.1700,113.3700,112.8511,3152487,0.0000,1.0000
2019-10-22,117.3000,118.2800,116.6600,116.9200,116.3849,1823105,0.0000,1.0000
2019-10-21,117.5400,117.6900,116.1100,117.2700,116.7333,1954579,0.0000,1.0000
2019-10-18,115.0400,117.2800,114.6100,117.0500,116.5143,2615034,0.0000,1.0000
2019-10-17,115.2300,116.5300,115.1000,116.2800,115.7478,1681738,0.0000,1.0000
2019-10-16,115.3400,115.3900,113.4000,114.9000,114.3741,2126882,0.0000,1.0000
2019-10-15,116.5800,117.0400,115.5200,115.6500,115.1207,1853772,0.0000,1.0000
2019-10-14,116.6100,117.6600,115.9700,116.1500,115.6184,973601,0.0000,1.0000
2019-10-11,118.0200,118.3000,116.2600,116.3400,115.8076,1538534,0.0000,1.0000
2019-10-10,115.5000,117.7900,115.4600,117.4400,116.9025,1940778,0.0000,1.0000
2019-10-09,115.1000,115.9500,114.5700,115.6000,115.0709,1359671,0.0000,1.0000
2019-10-08,115.0000,115.9400,114.2975,114.7700,114.2447,1502822,0.0000,1.0000
2019-10-07,116.3700,116.4600,115.5000,115.7100,115.1804,1312942,0.0000,1.0000
2019-10-04,115.5300,117.0400,115.4100,116.6100,116.0763,2892172,0.0000,1.0000
2019-10-03,114.5800,115.5300,114.0300,114.9900,114.4637,2642075,0.0000,1.0000
2019-10-02,114.1400,115.0700,113.5090,114.7700,114.2447,2892933,0.0000,1.0000
2019-10-01,115.1500,115.9700,114.5000,114.8700,114.3443,2576543,0.0000,1.0000
2019-09-30,113.5900,115.2105,113.5300,115.0000,114.4737,1789607,0.0000,1.0000
2019-09-27,115.4300,115.7200,112.6800,113.5900,113.0701,1693055,0.0000,1.0000
